Protein,WT,WT,AT5G27240,AT5G27240,AT3G04980,AT3G04980
AT3G18640,0,0,1,0,1,0
AT3G20050,0,0,1,1,2,0
AT3G22200,0,1,1,1,1,0
AT3G22220,0,0,1,0,2,2
AT3G22320,0,0,1,0,3,2
AT3G23620,0,2,1,1,3,3
AT3G24870,0,1,1,1,0,0
AT3G25230,0,0,1,0,3,0
AT3G27160,0,1,1,0,0,0
AT3G45851,0,0,1,0,0,0
AT3G48500,0,0,1,0,6,10
AT5G63570,0,1,1,0,2,1
AT3G49160,0,0,1,0,1,0
AT3G52200,0,1,1,1,4,0
AT3G53110,0,0,1,0,5,1
AT3G56240,0,1,1,0,1,0
AT3G57290,0,0,1,0,2,2
AT3G57560,0,2,1,0,2,1
AT3G58500,0,0,1,1,6,4
AT3G58610,0,0,1,0,2,0
AT3G60300,0,1,1,0,2,1
AT3G61820,0,1,1,0,3,3
AT4G00430,0,1,1,1,2,2
AT4G01850,0,1,1,0,4,0
AT4G02290,0,7,1,0,6,5
AT4G02840,0,1,1,1,2,2
AT4G22240,0,0,1,0,1,1
AT4G10340,0,0,1,1,0,0
AT4G11560,0,0,1,0,0,0
AT4G13230,0,0,1,0,2,0
AT4G13560,0,0,1,1,2,0
AT4G13930,0,0,1,0,5,2
AT4G14716,0,2,1,1,3,1
AT4G17330,0,1,1,0,0,0
AT4G24270,0,1,1,0,2,2
AT4G24820,0,1,1,0,1,0
AT4G25730,0,1,1,2,1,1
AT4G25890,0,0,1,0,2,2
AT5G54430,0,0,1,0,0,0
AT4G28360,0,3,1,1,1,0
AT4G31810,0,1,1,0,3,3
AT4G31840,0,0,1,0,0,2
AT4G32610,0,0,1,0,0,0
AT4G33090,0,0,1,0,4,0
AT4G34870,0,2,1,1,0,0
AT4G36020,0,0,1,0,3,0
AT4G37930,0,1,1,2,2,0
AT4G38740,0,0,1,0,3,0
AT4G39200,0,3,1,0,2,1
AT4G39520,0,0,1,0,1,0
AT5G10980,0,1,1,1,3,5
AT5G02130,0,1,1,0,1,1
AT5G02240,0,2,1,0,4,2
AT5G07410,0,1,1,1,5,2
AT5G08610,0,2,1,1,2,3
AT5G08640,0,1,1,0,3,3
AT5G08690,0,3,1,0,2,1
AT5G09900,0,0,1,1,3,2
AT5G10010,0,1,1,0,1,2
AT5G13520,0,0,1,0,3,0
AT5G14920,0,3,1,0,7,4
AT5G16130,0,3,1,0,5,2
AT5G16310,0,1,1,0,1,1
AT5G16730,0,0,1,2,0,0
AT5G19580,0,1,1,0,3,6
AT5G23540,0,3,1,1,3,3
AT5G23940,0,0,1,1,2,2
AT5G27640,0,1,1,1,6,0
AT5G28050,0,2,1,0,1,2
AT5G39850,0,2,1,0,4,2
AT5G40200,0,2,1,1,5,4
AT5G42790,0,0,1,0,4,0
AT5G43060,0,1,1,0,3,1
AT5G43830,0,1,1,1,3,2
AT5G43990,0,2,1,0,2,2
AT5G44100,0,2,1,0,0,0
AT5G44340,0,2,1,1,1,2
