Protein,LFQ intensity Col0-1-B,LFQ intensity Col0-2-B,LFQ intensity SUVH7-FLAG-T3-8-2-A,LFQ intensity SUVH7-FLAG-T4-2-1-A,LFQ intensity SUVH8-FLAG-T2-9-A,LFQ intensity SUVH8-FLAG-T3-1-3-A,WT,WT,AT1G17770,AT1G17770,AT2G24740,AT2G24740
AT5G22770,0,0,0,0,0,0,0,0,0,3,0,0
AT5G52640,0,0,0,0,0,0,0,0,0,3,0,0
AT5G59970,0,0,0,0,0,0,0,0,0,3,0,0
ATCG00500,0,0,0,0,0,0,0,0,0,3,0,0
AT2G47730,0,0,0,0,0,0,0,0,0,3,0,1
AT2G30810,0,0,0,1988300,0,5263200,0,0,0,3,0,2
AT1G12270,0,0,0,0,0,0,0,0,0,2,0,0
AT1G42980,0,0,0,0,0,0,0,0,0,2,0,0
AT1G50010,0,0,0,0,0,0,0,0,0,2,0,0
AT1G55490,0,0,0,0,0,0,0,0,0,2,0,0
AT1G56190,0,0,0,0,0,0,0,0,0,2,0,0
AT1G56450,0,0,0,0,0,0,0,0,0,2,0,0
AT1G68560,0,0,0,0,0,0,0,0,0,2,0,0
AT1G80480,0,0,0,0,0,0,0,0,0,2,0,0
AT2G25700,0,0,0,0,0,0,0,0,0,2,0,0
AT2G44060,0,0,0,0,0,0,0,0,0,2,0,0
AT3G03260,0,0,0,0,0,0,0,0,0,2,0,0
AT3G06860,0,0,0,0,0,0,0,0,0,2,0,0
AT3G20030,0,0,0,0,0,0,0,0,0,2,0,0
AT3G45190,0,0,0,0,0,0,0,0,0,2,0,0
AT3G54900,0,0,0,0,0,0,0,0,0,2,0,0
AT3G63460,0,0,0,0,0,0,0,0,0,2,0,0
AT4G23690,0,0,0,0,0,0,0,0,0,2,0,0
AT4G24820,0,0,0,0,0,0,0,0,0,2,0,0
AT4G34450,0,0,0,0,0,0,0,0,0,2,0,0
AT4G35800,0,0,0,0,0,0,0,0,0,2,0,0
AT5G19370,0,0,0,0,0,0,0,0,0,2,0,0
AT5G23290,0,0,0,0,0,0,0,0,0,2,0,0
AT5G26830,0,0,0,0,0,0,0,0,0,2,0,0
AT5G47350,0,0,0,0,0,0,0,0,0,2,0,0
AT5G50920,0,0,0,0,0,0,0,0,0,2,0,0
AT5G54770,0,0,0,0,0,0,0,0,0,2,0,0
AT5G56500,0,0,0,0,0,0,0,0,0,2,0,0
AT3G08770,0,0,0,0,0,0,0,0,0,2,0,1
AT3G22320,0,0,0,0,0,0,0,0,0,2,0,1
AT4G38740,0,0,0,1524000,0,1953300,0,0,0,2,0,1
AT5G01410,0,0,0,0,0,0,0,0,0,2,0,2
AT5G11520,0,0,0,0,0,0,0,0,0,2,0,3
AT1G77510,0,0,0,0,0,0,0,0,2,1,0,0
AT3G02520,0,0,0,0,0,0,0,0,2,1,0,0
AT5G40370,0,0,0,0,0,0,0,0,2,1,0,1
AT1G02930,0,0,0,0,0,0,0,0,1,1,0,0
AT1G79550,0,0,0,0,0,0,0,0,1,1,0,0
AT2G41840,0,0,0,0,0,0,0,0,1,1,0,0
AT5G50850,0,0,0,0,0,0,0,0,1,1,0,0
AT1G35160,0,0,0,0,0,0,0,0,1,1,0,1
