Protein,WT,WT,AT1G17770,AT1G177701
AT5G15200,6,6,6,4
AT5G67360,6,4,6,4
AT2G31610,6,5,6,2
AT2G07360,6,5,6,0
AT4G34030,6,3,6,0
AT4G09510,6,3,5,6
AT5G20290,6,8,5,6
AT5G40270,6,6,5,5
AT4G27500,6,3,5,4
AT1G26630,6,6,5,3
AT4G34360,6,5,4,5
AT2G16600,6,5,4,3
AT2G27030,6,4,4,3
AT3G43810,6,4,4,3
AT3G56800,6,4,4,3
AT5G21274,6,4,4,3
AT3G14120,6,4,3,3
AT1G33120,7,5,12,4
AT1G33140,7,5,12,4
AT3G51260,7,10,11,7
AT2G36460,7,8,10,12
AT5G01410,7,9,9,7
AT1G47128,7,9,9,6
AT3G48870,7,6,9,5
AT4G24190,7,8,8,7
AT1G56190,7,5,8,6
AT4G20360,7,8,8,6
AT5G39320,7,6,7,7
AT1G78580,7,6,7,6
AT5G11170,7,6,7,6
AT5G11200,7,6,7,6
ATCG00500,7,6,7,5
AT5G14740,7,6,7,4
AT3G23810,7,7,6,8
AT2G21330,7,7,6,6
AT1G64520,7,6,6,4
AT3G12145,7,3,6,4
AT4G16830,7,6,6,4
AT1G29150,7,6,5,10
AT3G02200,7,5,5,7
AT4G24820,7,6,5,7
AT2G22125,7,3,5,6
AT1G78570,7,2,5,5
AT2G42500,7,7,5,4
AT3G58500,7,7,5,4
AT5G26860,7,3,5,4
AT5G43990,7,5,4,6
AT5G56010,8,11,29,14
AT5G56030,8,11,28,14
AT5G56000,8,10,23,12
AT1G23310,8,13,16,13
AT1G48120,8,8,15,7
AT3G12110,8,9,14,12
AT1G13060,8,10,13,10
AT5G59950,8,9,13,7
AT2G38040,8,8,11,9
AT1G04410,8,8,11,7
AT5G50920,8,7,11,7
AT5G60160,8,11,10,10
AT2G36530,8,6,10,8
AT3G55760,8,6,10,6
AT2G17360,8,8,10,5
AT5G07090,8,8,10,5
AT5G58420,8,8,10,5
AT2G16940,8,3,9,9
AT2G18110,8,6,9,9
AT3G03780,8,6,9,9
AT2G21660,8,8,8,10
AT4G38970,8,7,8,10
AT1G52410,8,4,8,0
AT4G29270,8,8,7,11
AT5G20830,8,7,7,11
AT5G49460,8,7,7,10
AT5G48880,8,10,7,9
AT1G72730,8,8,7,5
AT1G10840,8,6,6,8
