Protein,AT5G41580,AT5G41580,WT
AT2G18040,0,0,1
AT1G16610,0,0,1
AT3G13930,13,11,2
AT5G06600,13,5,2
AT3G55750,11,8,2
AT1G04680,10,12,2
AT1G17100,10,8,2
AT2G46280,9,13,2
AT3G16950,8,9,2
AT1G04690,8,7,2
AT1G50920,7,10,2
AT3G18190,7,7,2
AT3G14310,7,6,2
AT1G48630,6,10,2
AT4G24130,6,7,2
AT5G23740,6,4,2
AT1G07750,6,3,2
AT4G23680,6,2,2
AT3G62310,6,2,2
AT1G35420,6,2,2
AT5G16050,5,7,2
AT1G23740,5,7,2
AT1G50480,5,6,2
AT3G47520,5,5,2
AT4G34670,5,4,2
AT1G06260,5,4,2
AT5G55730,5,3,2
AT3G56910,5,3,2
AT3G13580,5,3,2
AT1G27310,5,3,2
AT2G06850,5,2,2
AT5G46180,5,1,2
AT3G42170,5,1,2
AT3G14420,5,1,2
AT2G36460,4,9,2
AT1G13690,4,8,2
AT3G18240,4,6,2
AT4G24620,4,5,2
AT3G18165,4,5,2
AT1G67280,4,5,2
AT4G24510,4,4,2
AT1G24050,4,4,2
AT4G35100,4,3,2
AT4G00490,4,3,2
AT3G17940,4,3,2
AT1G33680,4,3,2
ATCG00770,4,2,2
AT3G03920,4,2,2
AT2G28950,4,2,2
AT2G16940,4,2,2
AT2G04690,4,2,2
AT5G36210,4,1,2
AT3G52560,4,1,2
AT1G30580,4,1,2
AT1G13270,4,1,2
AT1G77180,3,13,2
AT4G31180,3,8,2
AT1G51510,3,7,2
AT5G48480,3,6,2
AT2G24490,3,6,2
AT1G71260,3,6,2
AT1G65150,3,6,2
AT5G38470,3,5,2
AT3G55605,3,5,2
AT3G14100,3,5,2
AT3G12700,3,5,2
AT3G10220,3,5,2
AT1G31160,3,5,2
AT5G04430,3,4,2
AT4G30930,3,4,2
AT4G23670,3,4,2
AT4G22240,3,4,2
AT4G11220,3,4,2
AT3G52880,3,4,2
AT3G14600,3,4,2
AT1G77940,3,4,2
AT1G62820,3,4,2
AT5G27670,3,3,2
AT5G22440,3,3,2
AT5G07440,3,3,2
AT3G44590,3,3,2
AT3G13570,3,3,2
AT3G10610,3,3,2
AT3G01390,3,3,2
AT2G20760,3,3,2
AT2G04520,3,3,2
AT1G49600,3,3,2
AT1G29370,3,3,2
AT1G09340,3,3,2
AT5G36790,3,2,2
AT5G12140,3,2,2
AT4G26530,3,2,2
AT3G52580,3,2,2
AT3G06050,3,2,2
AT1G70580,3,2,2
AT1G50670,3,2,2
AT3G61240,3,1,2
AT2G20060,3,1,2
AT4G18905,3,0,2
AT2G26210,3,0,2
AT1G29880,3,0,2
AT5G46290,2,8,2
AT4G11010,2,7,2
AT5G28050,2,6,2
AT5G10810,2,5,2
AT5G07470,2,5,2
AT3G02110,2,5,2
AT5G64260,2,4,2
AT5G47190,2,4,2
AT4G11820,2,4,2
AT4G10340,2,4,2
AT3G62460,2,4,2
AT1G35720,2,4,2
AT5G56350,2,3,2
AT5G16130,2,3,2
AT4G39090,2,3,2
AT3G48420,2,3,2
