Protein,WT,WT.1,AT5G04940
AT3G06720,0,0,3
AT3G54960,3,0,3
AT1G11860,4,0,2
AT5G20020,3,0,5
AT3G49010,3,2,5
AT3G60770,4,0,4
AT5G06290,2,0,5
AT2G38400,5,0,5
AT1G33120,0,0,4
AT1G33140,0,0,4
AT5G64040,3,2,4
AT5G27850,2,0,2
AT4G09320,3,2,3
AT3G01780,4,0,0
AT1G53240,2,0,5
AT4G00100,3,0,3
AT1G03910,5,0,3
AT3G05590,2,0,2
AT1G03130,2,0,9
AT4G02770,2,0,9
AT2G28190,4,2,5
AT1G79730,2,0,0
AT3G03570,3,0,0
AT1G70310,2,0,7
AT1G55090,3,0,6
AT2G01970,3,2,4
AT4G09010,2,0,5
AT1G60900,6,0,5
AT4G34980,0,0,3
AT5G39320,0,0,5
AT3G47520,2,0,5
AT1G06290,5,0,5
AT4G21650,2,0,3
AT5G48580,3,2,4
AT2G01250,2,2,0
AT1G68010,3,0,2
AT2G42590,2,2,3
AT3G04840,0,2,4
AT2G31390,2,0,5
AT2G40510,3,2,2
AT1G06020,2,0,4
AT3G04400,2,0,3
AT2G33370,2,0,3
AT1G04480,2,0,3
AT2G37660,3,0,3
AT4G01290,7,0,3
AT1G75950,3,2,8
AT4G31990,5,0,4
AT5G48300,5,0,3
AT1G64370,2,0,0
AT5G24710,4,0,0
AT1G74970,2,2,3
AT5G51750,2,0,0
AT5G67630,3,0,4
ATCG00540,2,0,3
AT2G43090,4,0,2
AT4G26630,0,0,6
AT5G25610,2,2,2
AT4G27000,0,0,4
AT2G04520,2,3,4
AT5G35680,2,3,4
AT3G20820,0,0,3
AT4G03020,0,0,3
AT4G14710,2,0,3
AT4G20360,3,0,2
AT1G11840,2,0,4
AT1G13280,3,0,3
AT5G52840,0,0,2
AT1G65930,0,0,2
AT1G72550,0,0,2
AT1G68790,2,0,2
AT1G79530,3,0,2
AT5G54160,0,0,0
AT4G24680,5,0,0
AT1G76440,0,0,7
AT1G18450,5,0,7
AT1G11910,2,0,5
AT2G28470,0,0,4
AT2G18040,2,0,4
AT3G48420,0,0,3
AT4G34870,2,0,3
AT1G26550,2,0,3
AT1G59760,4,0,3
AT4G13400,4,0,3
AT3G27690,0,0,2
AT2G05100,0,0,2
AT2G05070,0,0,2
AT1G29920,2,0,2
AT1G35160,0,3,4
AT2G34420,2,0,2
AT1G29910,2,0,2
AT1G29930,2,0,2
AT3G13930,3,0,2
AT2G44120,0,2,0
AT3G56340,3,3,2
AT1G75910,0,0,0
ATCG00350,0,0,0
AT3G27740,0,0,0
AT1G20130,0,0,0
AT2G16485,0,0,0
AT1G47710,0,0,0
AT3G53020,2,2,2
AT5G66680,0,0,0
AT5G52240,0,0,0
AT5G47690,0,0,0
AT1G60710,4,0,5
AT5G44500,0,0,6
AT2G36620,2,2,2
AT4G20440,0,0,6
AT3G11770,3,0,5
AT5G16280,3,0,4
AT4G29350,3,0,8
AT3G11910,6,0,3
AT3G14420,0,0,3
AT2G27030,3,0,8
AT2G41110,0,0,6
AT1G66410,2,0,6
AT5G16050,0,4,9
AT1G23740,0,0,4
AT5G38480,2,3,5
AT5G55230,0,0,3
AT1G62820,2,0,3
AT3G56800,3,0,0
AT2G43550,4,0,5
AT2G15430,4,0,4
AT1G70180,3,0,3
AT3G23450,5,0,3
AT5G20990,0,0,0
AT1G12470,0,0,0
AT1G78380,0,0,6
AT5G13420,5,0,5
